instructor,rmp_rating,rmp_difficulty,rmp_num_ratings,rmp_take_again,rmp_url,rmp_dept,rmp_tags
"MAYES, KEITH",4.5,2.0,2,100%,https://www.ratemyprofessors.com/professor/3107422,Black Studies,"AMAZING LECTURES, GRADED BY FEW THINGS"
"AMIN-HONG, HEIDI",4.5,2.5,2,100%,https://www.ratemyprofessors.com/professor/2807071,English,"GET READY TO READ, PARTICIPATION MATTERS, GIVES GOOD FEEDBACK, LECTURE HEAVY"
"PATTERSON, DAVID",2.8,3.7,17,47%,https://www.ratemyprofessors.com/professor/2346686,Physics,"TOUGH GRADER, GET READY TO READ, LOTS OF HOMEWORK, CARING, PARTICIPATION MATTERS, AMAZING LECTURES, RESPECTED, LECTURE HEAVY, GIVES GOOD FEEDBACK, INSPIRATIONAL, ACCESSIBLE OUTSIDE CLASS"
"RAPPAPORT, ERIKA",3.9,2.6,60,71%,https://www.ratemyprofessors.com/professor/97346,History,"GET READY TO READ, EXTRA CREDIT, CARING, AMAZING LECTURES, SO MANY PAPERS, INSPIRATIONAL, TOUGH GRADER, LOTS OF HOMEWORK, TEST HEAVY"
"HOLLERER, TOBIAS",4.6,2.1,12,100%,https://www.ratemyprofessors.com/professor/755124,Computer Science,"GROUP PROJECTS, CLEAR GRADING CRITERIA, CARING, ACCESSIBLE OUTSIDE CLASS, GET READY TO READ, PARTICIPATION MATTERS"
"MAJEWSKI, JOHN",4.7,2.7,75,100%,https://www.ratemyprofessors.com/professor/408172,History,"AMAZING LECTURES, EXTRA CREDIT, CARING, GRADED BY FEW THINGS, CLEAR GRADING CRITERIA, TOUGH GRADER, GET READY TO READ, RESPECTED"
"EVEN, THOMAS",4.5,2.8,187,78%,https://www.ratemyprofessors.com/professor/154003,Biology,"AMAZING LECTURES, RESPECTED, TEST HEAVY, INSPIRATIONAL, GRADED BY FEW THINGS, TOUGH GRADER, CARING, LECTURE HEAVY"
"REYNOLDS, DWIGHT",4.6,2.0,29,100%,https://www.ratemyprofessors.com/professor/696239,Religious Studies,"BEWARE OF POP QUIZZES, EXTRA CREDIT, GET READY TO READ, INSPIRATIONAL, AMAZING LECTURES, CARING, RESPECTED"
"JOHNSON, JENNIFER",4.8,2.0,34,100%,https://www.ratemyprofessors.com/professor/852504,Writing,"GIVES GOOD FEEDBACK, CARING, RESPECTED, CLEAR GRADING CRITERIA, INSPIRATIONAL, GET READY TO READ, PARTICIPATION MATTERS, GROUP PROJECTS, ACCESSIBLE OUTSIDE CLASS, AMAZING LECTURES"
"JAMES, ANNA",4.9,2.3,27,100%,https://www.ratemyprofessors.com/professor/2601313,Biology,"CARING, AMAZING LECTURES, ACCESSIBLE OUTSIDE CLASS, INSPIRATIONAL, GIVES GOOD FEEDBACK, PARTICIPATION MATTERS, CLEAR GRADING CRITERIA, RESPECTED, EXTRA CREDIT, GROUP PROJECTS"
"BRECHER, BENJAMIN",3.3,2.7,3,100%,https://www.ratemyprofessors.com/professor/1555203,Music,None
"EBRAHIM, EBRAHIM",3.6,3.2,58,62%,https://www.ratemyprofessors.com/professor/2425397,Mathematics,"LOTS OF HOMEWORK, ACCESSIBLE OUTSIDE CLASS, GIVES GOOD FEEDBACK, CLEAR GRADING CRITERIA, CARING, AMAZING LECTURES, HILARIOUS, SKIP CLASS? YOU WON'T PASS."
"HOUGH, KEN",3.2,2.5,11,44%,https://www.ratemyprofessors.com/professor/1937351,History,"GROUP PROJECTS, GIVES GOOD FEEDBACK, LOTS OF HOMEWORK, RESPECTED, TOUGH GRADER, GET READY TO READ, PARTICIPATION MATTERS"
"WILBANKS, LIZZY",5.0,2.3,4,100%,https://www.ratemyprofessors.com/professor/2610285,Biology,"AMAZING LECTURES, CLEAR GRADING CRITERIA, INSPIRATIONAL, ACCESSIBLE OUTSIDE CLASS, HILARIOUS, CARING"
